vertex,amplitude,sign
0,0.0000000000,0
1,0.1088979824,+
2,-0.1106608027,-
3,-0.0618743595,-
4,0.1171807185,+
5,0.3263349682,+
6,0.6091906792,+
7,-0.5172732194,-
8,0.6545534820,+
9,0.3454465180,+
10,-0.3454465180,-
11,0.2751734914,+
12,0.7091589718,+
13,-0.9355256474,-
14,-0.4435156867,-
15,0.6195673308,+
16,0.3384899812,+
17,-0.1088979824,-
18,0.0586322678,+
19,-0.1368084981,-
20,0.0665354715,+
21,-0.0112291125,-
22,-0.2251717743,-
23,-0.2200293014,-
24,-0.0975568871,-
25,0.2736085312,+
26,0.7263914688,+
27,-0.5426300223,-
28,0.4839977545,+
29,-0.5351280026,-
30,0.6667462747,+
31,0.3175861885,+
32,0.4452010757,+
33,-0.7032676025,-
34,0.8798810817,+
35,0.0781762303,+
36,0.0017628203,+
37,0.0479903761,+
38,-0.0991206242,-
39,-0.1372802626,-
40,-0.0919174599,-
41,-0.2692928111,-
42,0.0112262843,+
43,0.1725351622,+
44,-0.2295919989,-
45,0.3612102709,+
46,0.2263666757,+
47,-0.0497531964,-
48,0.0702730266,+
49,-1.0000000000,-
50,-0.1760516441,-
51,-0.0553063590,-
52,-0.9580573120,-
53,-0.9843324632,-
54,0.0511302481,+
55,-0.1766134792,-
56,0.2580665268,+
57,-0.1316182721,-
58,-0.1837614465,-
59,0.2364008868,+
