vertex,amplitude,sign
0,-0.0000000000,0
1,-1.0000000000,-
2,0.4511083325,+
3,-0.0649714756,-
4,0.0920198030,+
5,-0.0272436942,-
6,0.5344415247,+
7,-0.5663184878,-
8,0.4352099686,+
9,-0.5436918367,-
10,0.5436918367,+
11,-0.1718055593,-
12,0.0661913114,+
13,-0.5071978305,-
14,-0.0647761088,-
15,0.4554161548,+
16,-0.8477834560,-
17,1.0000000000,+
18,-0.0339126734,-
19,0.4073664962,+
20,-0.0354802188,-
21,0.0625285461,+
22,0.2185976061,+
23,-0.1637105633,-
24,0.4156338926,+
25,-0.0249938467,-
26,-0.0834880215,-
27,0.0348696673,+
28,-0.0009569939,-
29,-0.1117259969,-
30,0.1463090814,+
31,-0.2519233293,-
32,-0.0548870428,-
33,0.1737289538,+
34,-0.0189134784,-
35,-0.3734538228,-
36,0.5488916675,+
37,-0.2627006238,-
38,0.1500176330,+
39,0.1311085192,+
40,0.0318769632,+
41,-0.2186765917,-
42,0.3375185027,+
43,-0.3861368568,-
44,-0.1522165440,-
45,0.1867996285,+
46,0.4410065192,+
47,-0.2861910438,-
48,-0.3718862774,-
49,0.1084818681,+
50,-0.3906400460,-
51,-0.0270483273,-
52,0.3923673012,+
53,0.1056142479,+
54,0.1126829908,+
55,-0.1548154754,-
56,-0.1188419111,-
57,-0.0345830845,-
58,0.0486183541,+
59,-0.2811261522,-
