vertex,amplitude,sign
0,0.0000000000,0
1,-0.3962074711,-
2,-0.5177968310,-
3,-0.3055045548,-
4,0.1283932103,+
5,0.5860666767,+
6,0.9040516843,+
7,1.0000000000,+
8,0.8500831504,+
9,0.4803765632,+
10,0.1242096442,+
11,0.1896238776,+
12,0.3395407272,+
13,0.5478847653,+
14,0.3162219451,+
15,-0.0857603699,-
16,-0.2980526461,-
17,-0.2083787363,-
18,-0.9040516843,-
19,-0.7916212637,-
20,-0.3896389487,-
21,-0.0199323615,-
22,0.2083787363,+
23,0.3962074711,+
24,0.5559787424,+
25,0.4905645089,+
26,0.0566667439,+
27,-0.5478847653,-
28,-0.5860666767,-
29,-0.1283932103,-
30,0.3055045548,+
31,0.5177968310,+
32,-0.0000000000,0
33,-0.4803765632,-
34,-0.8500831504,-
35,-1.0000000000,-
36,-0.5559787424,-
37,-0.3946161933,-
38,0.0857603699,+
39,0.6903118791,+
40,0.7916212637,+
41,0.2680495888,+
42,-0.1896238776,-
43,-0.4179349754,-
44,0.0199323615,+
45,0.3896389487,+
46,-0.0566667439,-
47,-0.4905645089,-
48,-0.2680495888,-
49,0.5802384188,+
50,0.3946161933,+
51,-0.1812949106,-
52,-0.6903118791,-
53,0.4179349754,+
54,-0.3162219451,-
55,-0.5802384188,-
56,-0.1242096442,-
57,0.1812949106,+
58,-0.3395407272,-
59,0.2980526461,+
