vertex,amplitude,sign
0,-0.0000000000,0
1,-0.2904702985,-
2,-0.6697888779,-
3,-0.9568526245,-
4,-1.0000000000,-
5,-0.7930010552,-
6,-0.4632706885,-
7,-0.1563847269,-
8,0.0466531318,+
9,0.1103022705,+
10,0.1906980680,+
11,0.3569042928,+
12,0.1538664341,+
13,-0.3828748910,-
14,-0.7200597414,-
15,-0.3237317431,-
16,-0.0366679966,-
17,-0.0105300399,-
18,0.4632706885,+
19,0.1669147668,+
20,-0.2294132314,-
21,-0.2930623702,-
22,0.0105300399,+
23,0.2904702985,+
24,0.2596627137,+
25,0.0934564889,+
26,0.1366038645,+
27,0.3828748910,+
28,0.7930010552,+
29,1.0000000000,+
30,0.9568526245,+
31,0.6697888779,+
32,0.0000000000,0
33,-0.1103022705,-
34,-0.0466531318,-
35,0.1563847269,+
36,-0.2596627137,-
37,0.2134294726,+
38,0.3237317431,+
39,0.0774607166,+
40,-0.1669147668,-
41,-0.1499053479,-
42,-0.3569042928,-
43,-0.6604967028,-
44,0.2930623702,+
45,0.2294132314,+
46,-0.1366038645,-
47,-0.0934564889,-
48,0.1499053479,+
49,0.1195944456,+
50,-0.2134294726,-
51,-0.7661545565,-
52,-0.0774607166,-
53,0.6604967028,+
54,0.7200597414,+
55,-0.1195944456,-
56,-0.1906980680,-
57,0.7661545565,+
58,-0.1538664341,-
59,0.0366679966,+
