vertex,amplitude,sign
0,0.0000000000,0
1,0.4228194066,+
2,-0.0362865652,-
3,-0.2806039854,-
4,0.1494056357,+
5,0.0090007464,+
6,-0.2559946446,-
7,-0.6138306842,-
8,0.1428755740,+
9,0.4626145166,+
10,-0.6544222451,-
11,-0.1170367616,-
12,0.6687658473,+
13,0.1694774609,+
14,-0.0538877057,-
15,0.2076673295,+
16,0.0014470064,+
17,-0.2310116780,-
18,0.2559946446,+
19,-0.1793578323,-
20,-0.0491831610,-
21,0.6552780910,+
22,0.2310116780,+
23,-0.4228194066,-
24,-0.6901176498,-
25,0.1163766088,+
26,0.2522944882,+
27,-0.1694774609,-
28,-0.0090007464,-
29,-0.1494056357,-
30,0.2806039854,+
31,0.0362865652,+
32,0.0000000000,0
33,-0.4626145166,-
34,-0.1428755740,-
35,0.6138306842,+
36,0.6901176498,+
37,0.4199614172,+
38,-0.2076673295,-
39,-0.6800694459,-
40,0.1793578323,+
41,1.0000000000,+
42,0.1170367616,+
43,-0.8686196362,-
44,-0.6552780910,-
45,0.0491831610,+
46,-0.2522944882,-
47,-0.1163766088,-
48,-1.0000000000,-
49,0.9741611876,+
50,-0.4199614172,-
51,0.4748965803,+
52,0.6800694459,+
53,0.8686196362,+
54,0.0538877057,+
55,-0.9741611876,-
56,0.6544222451,+
57,-0.4748965803,-
58,-0.6687658473,-
59,-0.0014470064,-
