================================================================================
PHASE 1 — SAMPLE SIGNINGS BY LIFT HASH
================================================================================
vertices: 15
edges:    30
negatives target: 14
sample limit:     250000
cycle basis size: 16

... samples=58000 cycle_sigs=13437 lift_hashes=1
... samples=58500 cycle_sigs=13437 lift_hashes=1
... samples=59000 cycle_sigs=13439 lift_hashes=1
... samples=59500 cycle_sigs=13443 lift_hashes=1
... samples=60000 cycle_sigs=13489 lift_hashes=1
... samples=60500 cycle_sigs=13511 lift_hashes=1
... samples=61000 cycle_sigs=13529 lift_hashes=1
... samples=61500 cycle_sigs=13543 lift_hashes=1
... samples=62000 cycle_sigs=13545 lift_hashes=1
... samples=62500 cycle_sigs=13545 lift_hashes=1
... samples=63000 cycle_sigs=13545 lift_hashes=1
... samples=63500 cycle_sigs=13551 lift_hashes=1
... samples=64000 cycle_sigs=13566 lift_hashes=1
... samples=64500 cycle_sigs=13611 lift_hashes=1
... samples=65000 cycle_sigs=13621 lift_hashes=1
... samples=65500 cycle_sigs=13623 lift_hashes=1
... samples=66000 cycle_sigs=13631 lift_hashes=1
... samples=66500 cycle_sigs=13631 lift_hashes=1
... samples=67000 cycle_sigs=13631 lift_hashes=1
... samples=67500 cycle_sigs=13631 lift_hashes=1
... samples=68000 cycle_sigs=13631 lift_hashes=1
... samples=68500 cycle_sigs=13631 lift_hashes=1
... samples=69000 cycle_sigs=13631 lift_hashes=1
... samples=69500 cycle_sigs=13637 lift_hashes=1
... samples=70000 cycle_sigs=13637 lift_hashes=1
... samples=70500 cycle_sigs=13637 lift_hashes=1
... samples=71000 cycle_sigs=13679 lift_hashes=1
... samples=71500 cycle_sigs=13685 lift_hashes=1
... samples=72000 cycle_sigs=13695 lift_hashes=1
... samples=72500 cycle_sigs=13695 lift_hashes=1
... samples=73000 cycle_sigs=13695 lift_hashes=1
... samples=73500 cycle_sigs=13701 lift_hashes=1
... samples=74000 cycle_sigs=13701 lift_hashes=1
... samples=74500 cycle_sigs=13701 lift_hashes=1
... samples=75000 cycle_sigs=13740 lift_hashes=1
... samples=75500 cycle_sigs=13783 lift_hashes=1
... samples=76000 cycle_sigs=13857 lift_hashes=1
... samples=76500 cycle_sigs=13951 lift_hashes=1
... samples=77000 cycle_sigs=14001 lift_hashes=1
... samples=77500 cycle_sigs=14044 lift_hashes=1
... samples=78000 cycle_sigs=14087 lift_hashes=1
... samples=78500 cycle_sigs=14137 lift_hashes=1
... samples=79000 cycle_sigs=14165 lift_hashes=1
... samples=79500 cycle_sigs=14204 lift_hashes=1
... samples=80000 cycle_sigs=14227 lift_hashes=1
... samples=80500 cycle_sigs=14241 lift_hashes=1
... samples=81000 cycle_sigs=14265 lift_hashes=1
... samples=81500 cycle_sigs=14284 lift_hashes=1
... samples=82000 cycle_sigs=14322 lift_hashes=1
... samples=82500 cycle_sigs=14343 lift_hashes=1
... samples=83000 cycle_sigs=14385 lift_hashes=1
... samples=83500 cycle_sigs=14423 lift_hashes=1
... samples=84000 cycle_sigs=14453 lift_hashes=1
... samples=84500 cycle_sigs=14469 lift_hashes=1
... samples=85000 cycle_sigs=14539 lift_hashes=1
... samples=85500 cycle_sigs=14560 lift_hashes=1
... samples=86000 cycle_sigs=14567 lift_hashes=1
... samples=86500 cycle_sigs=14567 lift_hashes=1
... samples=87000 cycle_sigs=14578 lift_hashes=1
... samples=87500 cycle_sigs=14581 lift_hashes=1
... samples=88000 cycle_sigs=14631 lift_hashes=1
... samples=88500 cycle_sigs=14647 lift_hashes=1
... samples=89000 cycle_sigs=14668 lift_hashes=1
... samples=89500 cycle_sigs=14676 lift_hashes=1
... samples=90000 cycle_sigs=14688 lift_hashes=1
... samples=90500 cycle_sigs=14688 lift_hashes=1
... samples=91000 cycle_sigs=14693 lift_hashes=1
... samples=91500 cycle_sigs=14700 lift_hashes=1
... samples=92000 cycle_sigs=14701 lift_hashes=1
... samples=92500 cycle_sigs=14703 lift_hashes=1
... samples=93000 cycle_sigs=14707 lift_hashes=1
... samples=93500 cycle_sigs=14712 lift_hashes=1
... samples=94000 cycle_sigs=14722 lift_hashes=1
... samples=94500 cycle_sigs=14730 lift_hashes=1
... samples=95000 cycle_sigs=14735 lift_hashes=1
... samples=95500 cycle_sigs=14751 lift_hashes=1
... samples=96000 cycle_sigs=14758 lift_hashes=1
... samples=96500 cycle_sigs=14764 lift_hashes=1
... samples=97000 cycle_sigs=14773 lift_hashes=1
... samples=97500 cycle_sigs=14783 lift_hashes=1
... samples=98000 cycle_sigs=14784 lift_hashes=1
... samples=98500 cycle_sigs=14785 lift_hashes=1
... samples=99000 cycle_sigs=14789 lift_hashes=1
... samples=99500 cycle_sigs=14789 lift_hashes=1
... samples=100000 cycle_sigs=14793 lift_hashes=1
... samples=100500 cycle_sigs=14798 lift_hashes=1
... samples=101000 cycle_sigs=14799 lift_hashes=1
... samples=101500 cycle_sigs=14804 lift_hashes=1
... samples=102000 cycle_sigs=14808 lift_hashes=1
... samples=102500 cycle_sigs=14808 lift_hashes=1
... samples=103000 cycle_sigs=14808 lift_hashes=1
... samples=103500 cycle_sigs=14814 lift_hashes=1
... samples=104000 cycle_sigs=14815 lift_hashes=1
... samples=104500 cycle_sigs=14815 lift_hashes=1
... samples=105000 cycle_sigs=14818 lift_hashes=1
... samples=105500 cycle_sigs=14821 lift_hashes=1
... samples=106000 cycle_sigs=14822 lift_hashes=1
... samples=106500 cycle_sigs=14822 lift_hashes=1
... samples=107000 cycle_sigs=14822 lift_hashes=1
... samples=107500 cycle_sigs=14822 lift_hashes=1
... samples=108000 cycle_sigs=14822 lift_hashes=1
... samples=108500 cycle_sigs=14826 lift_hashes=1
... samples=109000 cycle_sigs=14829 lift_hashes=1
... samples=109500 cycle_sigs=14829 lift_hashes=1
... samples=110000 cycle_sigs=14830 lift_hashes=1
... samples=110500 cycle_sigs=14830 lift_hashes=1
... samples=111000 cycle_sigs=14832 lift_hashes=1
... samples=111500 cycle_sigs=14840 lift_hashes=1
... samples=112000 cycle_sigs=14841 lift_hashes=1
... samples=112500 cycle_sigs=14841 lift_hashes=1
... samples=113000 cycle_sigs=14841 lift_hashes=1
... samples=113500 cycle_sigs=14841 lift_hashes=1
... samples=114000 cycle_sigs=14841 lift_hashes=1
... samples=114500 cycle_sigs=14855 lift_hashes=1
... samples=115000 cycle_sigs=14858 lift_hashes=1
... samples=115500 cycle_sigs=14867 lift_hashes=1
... samples=116000 cycle_sigs=14868 lift_hashes=1
... samples=116500 cycle_sigs=14871 lift_hashes=1
... samples=117000 cycle_sigs=14871 lift_hashes=1
... samples=117500 cycle_sigs=14871 lift_hashes=1
... samples=118000 cycle_sigs=14872 lift_hashes=1
... samples=118500 cycle_sigs=14876 lift_hashes=1
... samples=119000 cycle_sigs=14885 lift_hashes=1
... samples=119500 cycle_sigs=14891 lift_hashes=1
... samples=120000 cycle_sigs=14891 lift_hashes=1
... samples=120500 cycle_sigs=14893 lift_hashes=1
... samples=121000 cycle_sigs=14893 lift_hashes=1
... samples=121500 cycle_sigs=14893 lift_hashes=1
... samples=122000 cycle_sigs=14893 lift_hashes=1
... samples=122500 cycle_sigs=14893 lift_hashes=1
... samples=123000 cycle_sigs=14893 lift_hashes=1
... samples=123500 cycle_sigs=14894 lift_hashes=1
... samples=124000 cycle_sigs=14894 lift_hashes=1
... samples=124500 cycle_sigs=14894 lift_hashes=1
... samples=125000 cycle_sigs=14894 lift_hashes=1
... samples=125500 cycle_sigs=14900 lift_hashes=1
... samples=126000 cycle_sigs=14904 lift_hashes=1
... samples=126500 cycle_sigs=14905 lift_hashes=1
... samples=127000 cycle_sigs=14909 lift_hashes=1
... samples=127500 cycle_sigs=14910 lift_hashes=1
... samples=128000 cycle_sigs=14910 lift_hashes=1
... samples=128500 cycle_sigs=14911 lift_hashes=1
... samples=129000 cycle_sigs=14936 lift_hashes=1
... samples=129500 cycle_sigs=15000 lift_hashes=1
... samples=130000 cycle_sigs=15057 lift_hashes=1
... samples=130500 cycle_sigs=15087 lift_hashes=1
... samples=131000 cycle_sigs=15098 lift_hashes=1
... samples=131500 cycle_sigs=15132 lift_hashes=1
... samples=132000 cycle_sigs=15153 lift_hashes=1
... samples=132500 cycle_sigs=15230 lift_hashes=1
... samples=133000 cycle_sigs=15249 lift_hashes=1
... samples=133500 cycle_sigs=15335 lift_hashes=1
... samples=134000 cycle_sigs=15381 lift_hashes=1
... samples=134500 cycle_sigs=15407 lift_hashes=1
... samples=135000 cycle_sigs=15447 lift_hashes=1
... samples=135500 cycle_sigs=15497 lift_hashes=1
... samples=136000 cycle_sigs=15533 lift_hashes=1
... samples=136500 cycle_sigs=15534 lift_hashes=1
... samples=137000 cycle_sigs=15543 lift_hashes=1
... samples=137500 cycle_sigs=15553 lift_hashes=1
... samples=138000 cycle_sigs=15574 lift_hashes=1
... samples=138500 cycle_sigs=15597 lift_hashes=1
... samples=139000 cycle_sigs=15628 lift_hashes=1
... samples=139500 cycle_sigs=15641 lift_hashes=1
... samples=140000 cycle_sigs=15650 lift_hashes=1
... samples=140500 cycle_sigs=15654 lift_hashes=1
... samples=141000 cycle_sigs=15693 lift_hashes=1
... samples=141500 cycle_sigs=15694 lift_hashes=1
... samples=142000 cycle_sigs=15708 lift_hashes=1
... samples=142500 cycle_sigs=15748 lift_hashes=1
... samples=143000 cycle_sigs=15757 lift_hashes=1
... samples=143500 cycle_sigs=15760 lift_hashes=1
... samples=144000 cycle_sigs=15783 lift_hashes=1
... samples=144500 cycle_sigs=15808 lift_hashes=1
... samples=145000 cycle_sigs=15810 lift_hashes=1
... samples=145500 cycle_sigs=15812 lift_hashes=1
