================================================================================
PHASE 1 — FULL ENUMERATION OF 14/16 SIGNINGS BY LIFT HASH
================================================================================
vertices: 15
edges:    30
negatives target: 14
total signings:   145422675
cycle basis size: 16

... samples=230000/145422675 ( 0.158%) cycle_sigs=16204 lift_hashes=1 rate=  7657.7/s elapsed=00:00:30 eta=05:16:00
... samples=235000/145422675 ( 0.162%) cycle_sigs=16204 lift_hashes=1 rate=  7648.6/s elapsed=00:00:30 eta=05:16:22
... samples=240000/145422675 ( 0.165%) cycle_sigs=16204 lift_hashes=1 rate=  7641.4/s elapsed=00:00:31 eta=05:16:39
... samples=245000/145422675 ( 0.168%) cycle_sigs=16204 lift_hashes=1 rate=  7634.8/s elapsed=00:00:32 eta=05:16:55
... samples=250000/145422675 ( 0.172%) cycle_sigs=16262 lift_hashes=1 rate=  7617.9/s elapsed=00:00:32 eta=05:17:36
... samples=255000/145422675 ( 0.175%) cycle_sigs=16277 lift_hashes=1 rate=  7609.3/s elapsed=00:00:33 eta=05:17:57
... samples=260000/145422675 ( 0.179%) cycle_sigs=16284 lift_hashes=1 rate=  7603.5/s elapsed=00:00:34 eta=05:18:11
... samples=265000/145422675 ( 0.182%) cycle_sigs=16284 lift_hashes=1 rate=  7556.7/s elapsed=00:00:35 eta=05:20:09
... samples=270000/145422675 ( 0.186%) cycle_sigs=16284 lift_hashes=1 rate=  7550.0/s elapsed=00:00:35 eta=05:20:25
... samples=275000/145422675 ( 0.189%) cycle_sigs=16284 lift_hashes=1 rate=  7543.0/s elapsed=00:00:36 eta=05:20:42
... samples=280000/145422675 ( 0.193%) cycle_sigs=16284 lift_hashes=1 rate=  7528.4/s elapsed=00:00:37 eta=05:21:19
... samples=285000/145422675 ( 0.196%) cycle_sigs=16284 lift_hashes=1 rate=  7528.6/s elapsed=00:00:37 eta=05:21:18
... samples=290000/145422675 ( 0.199%) cycle_sigs=16284 lift_hashes=1 rate=  7518.9/s elapsed=00:00:38 eta=05:21:42
... samples=295000/145422675 ( 0.203%) cycle_sigs=16284 lift_hashes=1 rate=  7511.2/s elapsed=00:00:39 eta=05:22:01
... samples=300000/145422675 ( 0.206%) cycle_sigs=16303 lift_hashes=1 rate=  7497.3/s elapsed=00:00:40 eta=05:22:36
... samples=305000/145422675 ( 0.210%) cycle_sigs=16369 lift_hashes=1 rate=  7489.4/s elapsed=00:00:40 eta=05:22:56
... samples=310000/145422675 ( 0.213%) cycle_sigs=16383 lift_hashes=1 rate=  7483.8/s elapsed=00:00:41 eta=05:23:10
... samples=315000/145422675 ( 0.217%) cycle_sigs=16384 lift_hashes=1 rate=  7480.0/s elapsed=00:00:42 eta=05:23:19
